date,magnitude
2010-05-06,2.0
2010-05-08,1.1
2010-05-25,0.9
2010-05-31,1.7
2010-05-31,0.8
2010-06-01,0.3
2010-06-04,1.1
2010-06-10,1.0
2010-06-19,2.2
2010-06-23,1.5
2010-06-30,0.5
2010-07-21,1.7
2010-09-13,0.4
2010-10-01,1.7
2010-10-02,1.9
2010-10-18,1.6
2010-10-18,1.1
2010-12-15,2.2
2011-01-04,1.6
2011-01-21,1.1
2011-02-17,0.6
2011-02-26,0.5
2011-05-07,1.9
2011-05-25,0.9
2011-06-11,1.4
2011-06-14,1.5
2011-06-14,0.5
2011-06-17,1.5
2011-06-20,0.5
2011-06-20,0.2
2011-07-15,1.5
2011-07-18,1.6
2011-07-28,1.1
2011-07-31,1.9
2011-08-01,0.6
2011-08-01,1.1
2011-08-06,0.6
2011-08-14,2.1
2011-08-16,1.8
2011-08-21,2.0
2011-08-26,1.2
2011-09-01,1.9
2011-09-08,1.1
2011-09-08,0.9
2011-09-08,2.1
2011-09-09,0.9
2011-09-15,1.8
2011-10-10,1.7
2011-10-13,0.9
2011-10-15,1.9
2011-10-21,2.4
2011-10-30,1.2
2011-10-30,1.7
2011-11-01,1.9
2011-11-09,1.8
2011-12-10,1.0
2011-12-15,1.8
2011-12-18,1.9
2011-12-22,1.5
2012-01-10,2.2
2012-01-16,2.2
2012-02-12,2.0
2012-02-13,1.6
2012-02-24,2.1
2012-06-05,1.5
2012-06-08,2.5
2012-06-10,1.6
2012-06-16,2.1
2012-06-17,1.7
2012-06-18,1.8
2012-06-18,2.6
2012-06-30,2.0
2012-07-05,1.5
2012-07-06,1.9
2012-07-06,1.8
2012-07-08,2.5
2012-07-12,2.2
2012-07-16,1.7
2012-07-16,0.7
2012-07-17,1.7
2012-07-18,1.8
2012-08-05,1.5
2012-08-07,2.4
2012-08-08,2.5
2012-08-10,1.0
2012-08-12,1.8
2012-08-17,2.0
2012-08-17,1.7
2012-08-18,1.8
2012-08-26,1.7
2012-08-30,1.4
2012-08-30,1.9
2012-09-11,1.5
2012-09-19,2.2
2012-09-25,2.1
2012-10-18,1.5
2012-10-23,1.3
2012-11-22,1.8
2012-11-30,2.2
2012-12-08,1.8
2012-12-14,2.1
2012-12-17,2.0
2012-12-25,2.1
2013-01-06,2.2
2013-01-29,2.1
2013-03-01,1.4
2013-03-08,2.0
2013-03-16,2.0
2013-03-20,1.1
2013-03-23,1.8
2013-03-27,2.5
2013-04-01,2.0
2013-04-01,2.4
2013-04-15,1.9
2013-04-27,1.8
2013-04-28,1.5
2013-05-11,1.6
2013-05-26,1.0
2013-06-14,1.9
2013-06-26,2.0
2013-07-16,1.6
2013-08-11,2.3
2013-08-20,1.9
2013-09-07,1.5
2013-09-14,2.4
2013-09-17,1.8
2013-09-19,1.6
2013-09-24,2.1
2013-09-26,1.9
2013-09-30,2.3
2013-10-01,2.2
2013-10-02,2.1
2013-10-19,1.8
2013-10-23,2.0
2013-10-28,1.9
2013-11-03,2.2
2013-11-05,1.8
2013-11-05,1.7
2013-11-17,1.9
2013-11-23,1.9
2013-12-04,1.8
2013-12-10,2.3
2013-12-29,1.6
2013-12-31,2.0
2014-01-06,2.3
2014-02-18,1.5
2014-02-24,6.1
2014-03-29,2.0
2014-04-01,1.3
2014-04-06,2.2
2014-04-07,1.7
2014-04-10,1.6
2014-04-14,2.5
2014-04-14,2.3
2014-05-05,2.1
2014-05-11,1.9
2014-06-02,0.6
2014-06-02,2.0
2014-06-09,2.0
2014-06-14,1.9
2014-06-18,2.0
2014-06-22,1.5
2014-06-28,1.7
2014-07-01,1.2
2014-07-27,1.9
2014-08-01,2.2
2014-09-08,2.0
2014-09-10,2.1
2014-09-10,1.2
2014-09-10,1.1
2014-09-10,1.8
2014-09-14,1.9
2014-09-26,2.0
2014-09-27,1.7
2014-10-03,2.1
2014-10-06,2.1
2014-10-10,2.0
2014-10-21,2.2
2014-10-25,2.0
2014-11-01,1.9
2015-05-08,0.8
2015-05-15,1.3
2015-05-15,1.8
2015-05-16,1.0
2015-05-28,1.5
2015-05-29,1.3
2015-06-01,2.1
2015-06-21,2.1
2015-07-01,2.1
2015-07-03,1.2
2016-05-19,1.4
2016-05-19,1.9
2016-07-01,1.6
2016-07-01,0.6
2016-07-28,1.3
2016-08-10,1.3
2016-08-11,1.3
2016-08-22,1.1
2016-08-28,1.0
2016-09-06,1.4
2016-09-10,0.3
2016-10-09,0.8
2016-10-10,1.6
2016-10-11,1.2
2016-10-18,1.5
2016-10-18,1.2
2016-10-21,1.2
2016-11-14,1.1
2016-11-14,1.4
2016-11-16,1.3
2016-11-29,1.1
