date,magnitude
2008-01-10,1.8
2008-02-08,1.7
2008-02-16,2.0
2008-02-19,1.9
2008-03-11,1.4
2008-03-18,1.6
2008-03-21,1.9
2008-04-01,2.1
2008-04-06,1.5
2008-04-06,1.9
2008-04-12,1.7
2008-04-16,1.6
2008-04-22,1.5
2008-05-27,1.7
2008-06-07,1.6
2008-09-13,1.9
2008-09-14,1.6
2008-12-21,2.7
2009-01-28,1.6
2009-02-08,1.8
2009-05-07,1.8
2009-05-11,1.9
2009-05-19,2.4
2009-07-05,1.7
2009-07-22,2.0
2009-07-23,1.6
2009-08-05,5.0
2009-08-05,1.1
2009-08-05,1.0
2009-08-07,1.8
2009-08-08,1.7
2009-08-09,2.0
2009-09-07,1.9
2009-09-16,2.3
2009-09-23,1.7
2009-10-10,1.7
2009-10-15,2.2
2009-10-30,1.5
2009-10-30,2.3
2009-12-09,1.6
2010-04-08,1.1
2010-05-02,2.0
2010-05-04,2.7
2010-05-18,2.6
2010-05-18,3.7
2010-07-12,1.8
2010-08-19,2.0
2010-08-29,2.3
2010-11-12,2.8
2011-01-08,1.6
2011-01-19,1.6
2011-03-11,-0.3
2011-03-24,-1.0
2011-06-08,0.9
2011-06-08,1.1
2011-06-09,1.0
2011-06-09,0.6
2011-06-09,3.3
2011-06-09,0.5
2011-08-08,1.3
2011-08-09,1.6
2011-09-22,2.2
2011-09-22,0.0
2011-09-22,-0.2
2011-12-26,3.5
2011-12-29,2.0
2012-02-19,2.8
2013-03-24,0.8
2013-05-11,1.7
2013-06-14,1.3
2014-07-05,2.0
2014-09-07,2.9
2014-12-04,1.8
2014-12-28,3.5
2015-11-06,1.7
2016-01-08,2.4
2016-02-26,2.6
2016-07-31,0.7
2016-08-01,1.7
2016-08-03,1.7
2016-08-05,1.1
2016-08-05,0.2
2016-08-28,1.7
2016-09-04,1.6
2016-11-07,1.2
2017-01-29,1.0
2017-03-18,0.9
2017-03-22,1.5
2017-04-20,0.7
2017-04-20,0.7
2017-08-05,1.5
2017-08-07,1.2
2017-09-13,1.4
2017-09-29,0.4
2017-10-15,1.2
2017-10-15,2.0
2017-10-27,1.0
2017-11-07,1.3
2018-01-03,1.0
2018-02-05,1.5
2018-02-05,0.8
2018-02-06,0.8
2018-03-04,1.2
2018-04-01,0.6
2018-08-05,2.7
2018-08-05,1.6
2018-08-19,0.5
2018-08-19,0.9
2018-08-21,0.9
2018-09-05,2.6
2018-09-14,1.9
2018-11-02,2.7
2018-11-02,3.8
2019-03-06,1.1
2019-03-08,0.7
2019-03-08,1.0
2019-03-10,1.0
2019-03-10,1.2
2019-03-12,1.4
2019-03-24,0.7
2019-03-27,1.3
2019-03-27,1.1
2019-03-27,1.3
2019-04-02,1.5
2019-06-10,1.8
2019-06-10,0.7
2019-06-12,0.9
2019-08-24,0.7
2019-09-15,3.1
2019-12-23,2.3
2020-01-17,2.4
2020-02-17,0.4
2020-09-07,2.0
2020-10-08,1.7
