date,magnitude
2008-05-17,1.4
2009-04-17,1.6
2009-07-24,2.1
2009-08-18,0.9
2009-12-15,1.8
2010-01-21,2.5
2010-08-19,1.7
2011-07-09,2.0
2011-10-13,1.7
2012-04-03,1.0
2012-09-15,2.0
2012-11-03,1.8
2012-11-24,1.5
2012-12-23,2.2
2012-12-23,2.2
2012-12-25,1.7
2012-12-28,2.9
2013-02-20,1.5
2013-12-01,3.0
2014-01-21,2.0
2014-02-12,1.7
2014-07-28,2.4
2014-10-30,2.0
2014-11-10,2.1
2014-12-10,1.1
2015-05-19,1.4
2015-09-11,1.2
2015-10-06,2.5
2015-10-26,2.5
2015-12-06,2.0
2016-02-25,2.0
2016-03-28,1.4
2016-06-08,1.2
2016-07-12,2.1
2016-07-23,2.2
2016-08-11,1.6
2016-09-10,1.6
2016-10-21,2.3
2016-12-29,2.1
2017-03-02,2.6
2017-06-12,2.7
2017-06-12,1.8
2017-11-12,2.1
2018-01-02,2.1
2018-03-16,1.3
2018-04-21,2.4
2018-12-11,1.2
2019-05-24,1.4
2019-11-29,1.6
2019-12-23,1.8
2020-08-30,2.9
